game_title ,editorial_rating , user_rating , game_price ,game_price_cents, editor  , type ,device ,
Call of Duty : Advanced Warfare sur PS4,18,13.8,15,60,SledgehammerGames,Contemporain,PS4,
Mount & Blade : Warband sur PS4,18,15,35,60,TaleWorldsEntertainment,ActionRPG,PS4,
Dust : An Elysian Tail sur PS4,18,16.5,no information,,HumbleHearts,Beat'emAll,PS4,
Journey sur PS4,18,15.7,49,99,Sony,Autres,PS4,
Ether One sur PS4,18,11.1,15,17,WhitePaperGames,Payantàl'acquisition,PS4,
Flower sur PS4,18,16.6,no information,,Sony,Autres,PS4,
Tomb Raider : Definitive Edition sur PS4,18,17,14,0,CrystalDynamics,Contemporain,PS4,
The Walking Dead : Saison 2 : Episode 3 - In Harm’s Way sur PS4,18,16,no information,,TelltaleGames,Post-apocalyptique,PS4,
What Remains of Edith Finch sur PS4,18,13.5,no information,,SCESantaMonicaStudio,Autres,PS4,
Grand Theft Auto V sur PS4,18,17,24,7,RockstarGames,TPS,PS4,
Final Fantasy XV sur PS4,18,14.8,16,0,SquareEnix,HeroicFantasy,PS4,
The Walking Dead : Episode 3 - Long Road Ahead sur PS4,18,18,no information,,TelltaleGames,Post-apocalyptique,PS4,
Life is Strange - Episode 1 - Chrysalis sur PS4,18,18.4,no information,,DONTNODEntertainment,Fantastique,PS4,
